i;ID_QR;ID_xls;CHACRA_ID_QR;CANAL;LOTE;CHACRA;SUPERFICIE;ID_CAMPAÑA;ACTIVIDAD
927;Chacra Vieja2 38;Chacra Vieja 2 38;Chacra Vieja;2;38;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
928;Chacra Vieja2 39;Chacra Vieja 2 39;Chacra Vieja;2;39;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
929;Chacra Vieja2 40;Chacra Vieja 2 40;Chacra Vieja;2;40;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
930;Chacra Vieja2 41;Chacra Vieja 2 41;Chacra Vieja;2;41;Vieja;2,7;CHACRA VIEJA 3;P. MANT.
931;Chacra Vieja3 1;Chacra Vieja 3 1;Chacra Vieja;3;1;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
932;Chacra Vieja3 2;Chacra Vieja 3 2;Chacra Vieja;3;2;Vieja;1;CHACRA VIEJA 3;P. MANT.
933;Chacra Vieja3 3;Chacra Vieja 3 3;Chacra Vieja;3;3;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
934;Chacra Vieja3 4;Chacra Vieja 3 4;Chacra Vieja;3;4;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
935;Chacra Vieja3 5;Chacra Vieja 3 5;Chacra Vieja;3;5;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
936;Chacra Vieja3 6;Chacra Vieja 3 6;Chacra Vieja;3;6;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
937;Chacra Vieja3 7;Chacra Vieja 3 7;Chacra Vieja;3;7;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
938;Chacra Vieja3 8;Chacra Vieja 3 8;Chacra Vieja;3;8;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
939;Chacra Vieja3 9;Chacra Vieja 3 9;Chacra Vieja;3;9;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
940;Chacra Vieja3 10;Chacra Vieja 3 10;Chacra Vieja;3;10;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
